location_x,location_y,power_of_shot,knockout_match,game_season,distance_of_shot,is_goal,area_of_shot,shot_basics,range_of_shot,date_of_game,home/away,shot_id_number,lat/lng,type_of_shot,match_id,remaining_time
-157.0,0.0,1.0,0.0,2000-01,35.0,0.0,Left Side(L),Mid Range,8-16 ft.,31-10-2000,MANU @ POR,2.0,"45.539131, -122.651648",shot - 45,20000012,10.366666666666667
-101.0,135.0,1.0,0.0,2000-01,36.0,1.0,Left Side Center(LC),Mid Range,16-24 ft.,31-10-2000,MANU @ POR,3.0,"45.539131, -122.651648",shot - 25,20000012,7.75
138.0,175.0,1.0,0.0,2000-01,42.0,0.0,Right Side Center(RC),Mid Range,16-24 ft.,31-10-2000,MANU @ POR,4.0,"45.539131, -122.651648",shot - 3,20000012,6.866666666666667
0.0,0.0,2.0,0.0,2000-01,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,31-10-2000,MANU @ POR,5.0,"45.539131, -122.651648",shot - 1,20000012,42.95666666666667
-145.0,-11.0,3.0,0.0,2000-01,34.0,0.0,Left Side(L),Mid Range,8-16 ft.,31-10-2000,MANU @ POR,6.0,"45.539131, -122.651648",shot - 17,20000012,9.533333333333333
0.0,0.0,3.0,0.0,2000-01,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,31-10-2000,MANU @ POR,7.0,"45.539131, -122.651648",shot - 4,20000012,8.866666666666667
-65.0,0.0,3.0,0.0,2000-01,32.0,1.0,Left Side(L),Goal Line,8-16 ft.,31-10-2000,MANU @ POR,9.0,"45.539131, -122.651648",shot - 36,20000012,6.2
-33.0,0.0,3.0,0.0,2000-01,32.0,0.0,Center(C),Goal Line,8-16 ft.,31-10-2000,MANU @ POR,10.0,"45.539131, -122.651648",shot - 44,20000012,3.6
-94.0,238.0,3.0,0.0,2000-01,45.0,0.0,Left Side Center(LC),Penalty Spot,24+ ft.,31-10-2000,MANU @ POR,11.0,"45.539131, -122.651648",shot - 7,20000012,1.9333333333333333
121.0,127.0,1.0,0.0,2000-01,37.0,1.0,Right Side Center(RC),Mid Range,16-24 ft.,01-11-2000,MANU vs. UTA,12.0,"42.982923, -71.446094",shot - 3,20000019,11.0
